name,handle,bio,url,platform,dm,title,location,followers,profile_url,contact_info,search_term,extraction_method,relevance_score,is_verified,has_email,has_phone,subscriber_count,description,video_count,subscribers,channel_url
TRAIN WITH GAINSBYBRAINS,@TRAINWITHGAINSBYBRAINS,YouTube channel covering best abs workout topics,https://www.youtube.com/@TRAINWITHGAINSBYBRAINS,youtube,"Hey TRAIN! 💪 Just wanted to drop a quick DM to say how much I love your fitness content! Your energy and expertise really shine through in your videos. 🙌 

I’m always on the lookout to connect with awesome trainers and enthusiasts like you. I think a collab could be epic! 🎥 Le...",,,,,,best abs workout,Channel Renderers,9,,,,955000,YouTube channel covering best abs workout topics,Video count not shown,955K subscribers,https://www.youtube.com/@TRAINWITHGAINSBYBRAINS
Roberta's Gym,@RobertasGym,YouTube channel covering best abs workout topics,https://www.youtube.com/@RobertasGym,youtube,"Hey Roberta's! 🎉 I just wanted to drop a message to say how much I love your fitness content! Your energy and tips are always on point, and I’m sure your subscribers appreciate that too! 💪

I’m really passionate about connecting with like-minded trainers and fitness enthusiast...",,,,,,best abs workout,Channel Renderers,9,,,,6680000,YouTube channel covering best abs workout topics,Video count not shown,6.68M subscribers,https://www.youtube.com/@RobertasGym
Rowan Row,@RowanRow,YouTube channel covering best abs workout topics,https://www.youtube.com/@RowanRow,youtube,"Hey Rowan! 👋 Just wanted to say that I absolutely LOVE your content in the fitness space! 💪 Your videos are super inspiring and always keep me motivated. I’m always on the lookout for opportunities to connect with like-minded trainers and enthusiasts like you! 

I think it wou...",,,,,,best abs workout,Channel Renderers,9,,,,2190000,YouTube channel covering best abs workout topics,Video count not shown,2.19M subscribers,https://www.youtube.com/@RowanRow
FullTimeNinja,@FullTimeNinja,YouTube channel covering best abs workout topics,https://www.youtube.com/@FullTimeNinja,youtube,"Hey FullTimeNinja! 💪 Just wanted to drop a quick message to say how much I love your content! Your fitness tips and training techniques are super inspiring. I’m always on the lookout for ways to connect with like-minded trainers and enthusiasts. 

I’d love to explore the possi...",,,,,,best abs workout,Channel Renderers,9,,,,33300,YouTube channel covering best abs workout topics,Video count not shown,33.3K subscribers,https://www.youtube.com/@FullTimeNinja
Jordan Yeoh Fitness,@jordanyeohfitness,YouTube channel covering best abs workout topics,https://www.youtube.com/@jordanyeohfitness,youtube,Hey Jordan! 👋 Just wanted to say I’m a huge fan of your fitness content! Your videos are super inspiring and really resonate with the community. 💪 I’d love to connect and explore ways we could collaborate! I think our audiences would vibe really well together. Let's chat and s...,,,,,,best abs workout,Channel Renderers,9,,,,4460000,YouTube channel covering best abs workout topics,Video count not shown,4.46M subscribers,https://www.youtube.com/@jordanyeohfitness
Maxx Stewart,@MaxxStewart,YouTube channel covering best abs workout topics,https://www.youtube.com/@MaxxStewart,youtube,"Hey Maxx! 👋 I just wanted to drop in and say how much I love your content! Your fitness tips and workouts are seriously next level! 💪🌟 I’m always on the lookout for opportunities to connect with like-minded trainers and enthusiasts, and I think it would be awesome to collabora...",,,,,,best abs workout,Channel Renderers,9,,,,22300,YouTube channel covering best abs workout topics,Video count not shown,22.3K subscribers,https://www.youtube.com/@MaxxStewart
Pamela Reif,@PamelaRf1,YouTube channel covering best abs workout topics,https://www.youtube.com/@PamelaRf1,youtube,"Hey Pamela! 🌟 I just wanted to say how much I love your fitness content! Your energy and tips are super inspiring. 💪 I’m always looking to connect with like-minded trainers and enthusiasts, and I think we could create some awesome collab content together! If you're interested,...",,,,,,best abs workout,Channel Renderers,9,,,,10500000,YouTube channel covering best abs workout topics,Video count not shown,10.5M subscribers,https://www.youtube.com/@PamelaRf1
BikiniModelFitness,@BikiniModelFitness,YouTube channel covering best abs workout topics,https://www.youtube.com/@BikiniModelFitness,youtube,"Hey BikiniModelFitness! 🌟 I'm a huge fan of your channel and all the amazing content you create in the fitness space. Your workouts and tips are seriously inspiring! 💪

I’d love to connect and explore ways we could collaborate—maybe a workout challenge or a Q&A session? I thin...",,,,,,best abs workout,Channel Renderers,9,,,,2610000,YouTube channel covering best abs workout topics,Video count not shown,2.61M subscribers,https://www.youtube.com/@BikiniModelFitness
Lilly Sabri,@LillySabri,YouTube channel covering best abs workout topics,https://www.youtube.com/@LillySabri,youtube,"嗨，Lilly！👋

我刚刚发现你的频道，关于最佳腹肌锻炼的话题真是太棒了！💪 你的内容不仅专业，而且很有启发性，给我带来了很多动力。期待看到你更多的健身分享，尤其是一些实用的锻炼技巧！

继续加油，我们一起为健康努力！🌟

祝好，  
[你的名字]",,,,,,best abs workout,Channel Renderers,9,,,,6390000,YouTube channel covering best abs workout topics,Video count not shown,6.39M subscribers,https://www.youtube.com/@LillySabri
SexyBikiniWorkout,@SexyBikiniWorkout,YouTube channel covering best abs workout topics,https://www.youtube.com/@SexyBikiniWorkout,youtube,"Hey SexyBikiniWorkout! 💪🔥 

I just wanted to drop a quick message to say how much I love your content! Your workouts are super inspiring, and I always look forward to your next upload. 😍 

I’m really passionate about fitness too, and I think it would be awesome to collaborate ...",,,,,,best abs workout,Channel Renderers,9,,,,287000,YouTube channel covering best abs workout topics,Video count not shown,287K subscribers,https://www.youtube.com/@SexyBikiniWorkout
