name,handle,bio,url,platform,dm,title,location,followers,profile_url,contact_info,search_term,extraction_method,relevance_score,is_verified,has_email,has_phone,subscriber_count,description,video_count,subscribers,channel_url,username,raw_text_sample,extracted_at,transformation_stage,content_preview,post_title,pain_points,post_type,source_type,support_seeking,product_interest,source_post_url,search_source,lead_quality,customer_type,niche_goals,urgency_level,article_context,comment_preview,source_article_url,content_engagement,content_focus,reading_patterns
Teacher Aya Online Tutor,@TeacherAyaOnlineTutor,YouTube channel covering teacher topics,https://www.youtube.com/@TeacherAyaOnlineTutor,youtube,"你好！😊

我最近关注了你的频道，发现你分享的教师话题非常有趣且实用！作为一名教育工作者，我非常欣赏你在这个领域的热情和专业。期待看到你更多精彩的内容，也希望能在评论区和你互动交流！加油！

祝好，  
[你的名字]",,,,,,teacher,Channel Renderers,3,,,,1390000,YouTube channel covering teacher topics,Video count not shown,1.39M subscribers,https://www.youtube.com/@TeacherAyaOnlineTutor,,,,,,,,,,,,,,,,,,,,,,,
Teacher Luke - Duolingo English Test,@TeacherLuke-DET,YouTube channel covering teacher topics,https://www.youtube.com/@TeacherLuke-DET,youtube,"你好！👋

我刚刚发现你的频道，真的很喜欢你关于教师话题的内容！你分享的经验和见解对我们这些教育工作者来说非常有帮助。期待看到更多精彩视频，也希望能在评论区与你互动！

祝好！✨",,,,,,teacher,Channel Renderers,3,,,,610000,YouTube channel covering teacher topics,Video count not shown,610K subscribers,https://www.youtube.com/@TeacherLuke-DET,,,,,,,,,,,,,,,,,,,,,,,
Teacher Peter - Fun Videos for Kids!,@teacherpetersings,YouTube channel covering teacher topics,https://www.youtube.com/@teacherpetersings,youtube,"Hey [Teacher's Name]! 👋 

I just wanted to reach out and say how much I love your content! Your videos really resonate with me, and I think it’d be awesome to collaborate sometime. I’m all about connecting with like-minded creators, and I’d love to explore ways we can work tog...",,,,,,teacher,Channel Renderers,3,,,,5830,YouTube channel covering teacher topics,Video count not shown,5.83K subscribers,https://www.youtube.com/@teacherpetersings,,,,,,,,,,,,,,,,,,,,,,,
Teacher Susie,@teachersusie,YouTube channel covering teacher topics,https://www.youtube.com/@teachersusie,youtube,"Hey [Teacher's Name]! 👋

I just wanted to reach out and say how much I love your content! Your videos are super inspiring and really resonate with what I’m passionate about. I’d love to connect and explore the possibility of collaborating sometime. 

Let’s stay in touch—maybe ...",,,,,,teacher,Channel Renderers,3,,,,41900,YouTube channel covering teacher topics,Video count not shown,41.9K subscribers,https://www.youtube.com/@teachersusie,,,,,,,,,,,,,,,,,,,,,,,
Teaching Mama,@teachingmamahzl,YouTube channel covering teacher topics,https://www.youtube.com/@teachingmamahzl,youtube,"Hey [Channel Name]! 👋

I’ve been checking out your content, and I’m seriously impressed! Your videos really resonate with the community and showcase some great insights. I’d love to connect and see if there’s a chance for us to collaborate on something cool! 

Let’s brainstorm...",,,,,,teacher,Channel Renderers,3,,,,404000,YouTube channel covering teacher topics,Video count not shown,404K subscribers,https://www.youtube.com/@teachingmamahzl,,,,,,,,,,,,,,,,,,,,,,,
Teachers Adda247,@TeachersAdda247,YouTube channel covering teacher topics,https://www.youtube.com/@TeachersAdda247,youtube,"Hey [Teacher's Name]! 🎉

I just wanted to drop a quick DM to say how much I love your content on your channel! Your videos really resonate with educators like me, and I'm super inspired by your approach. 🙌 

I’d love to connect and explore some potential collaboration opportun...",,,,,,teacher,Channel Renderers,3,,,,2200000,YouTube channel covering teacher topics,Video count not shown,2.2M subscribers,https://www.youtube.com/@TeachersAdda247,,,,,,,,,,,,,,,,,,,,,,,
Teacher Azam,@TeacherAzam,YouTube channel covering teacher topics,https://www.youtube.com/@TeacherAzam,youtube,"Hey [Teacher's Name]! 👋

I just wanted to reach out and say how much I love your content! 🎥 Your videos really resonate with me and I think we share a similar vibe in our teaching styles. I’d love to connect and explore some collaboration opportunities! 🤝

Let’s inspire each o...",,,,,,teacher,Channel Renderers,3,,,,485000,YouTube channel covering teacher topics,Video count not shown,485K subscribers,https://www.youtube.com/@TeacherAzam,,,,,,,,,,,,,,,,,,,,,,,
Bored Teachers,@BoredTeachers,YouTube channel covering teacher topics,https://www.youtube.com/@BoredTeachers,youtube,"Hey Bored! 👋

I just wanted to drop a quick message to say how much I love your channel! Your content is super inspiring, and I think it would be awesome to collaborate sometime. 🤝 

If you’re down, let's brainstorm some ideas that could bring our audiences together! I’m all a...",,,,,,teacher,Channel Renderers,3,,,,460000,YouTube channel covering teacher topics,Video count not shown,460K subscribers,https://www.youtube.com/@BoredTeachers,,,,,,,,,,,,,,,,,,,,,,,
English Teacher - Topic,English Teacher - Topic,YouTube channel covering teacher topics,https://www.youtube.com/channel/UCwbdw_8yRFpqVjs89MHvIRQ,youtube,"您好！😊

我注意到您的频道专注于教师话题，非常有趣！作为一个热爱教育的人，我很期待看到您分享的内容。您有哪些特别的教学经验或建议可以分享给我们呢？希望能在您的频道里获得更多启发！

祝好，期待您的回覆！✨",,,,,,teacher,Channel Renderers,3,,,,0,YouTube channel covering teacher topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UCwbdw_8yRFpqVjs89MHvIRQ,,,,,,,,,,,,,,,,,,,,,,,
Teachers Off Duty Podcast,@TeachersOffDutyPodcast,YouTube channel covering teacher topics,https://www.youtube.com/@TeachersOffDutyPodcast,youtube,"Hey [Teacher's Name]! 🌟

I just wanted to slide into your DMs to connect with a fellow education enthusiast! I’ve been loving your content on [specific topic they cover]—it's super inspiring! 🙌

I think there’s a lot we could collaborate on to create some awesome content toget...",,,,,,teacher,Channel Renderers,3,,,,938000,YouTube channel covering teacher topics,Video count not shown,938K subscribers,https://www.youtube.com/@TeachersOffDutyPodcast,,,,,,,,,,,,,,,,,,,,,,,
