name,handle,bio,url,platform,dm,title,location,followers,profile_url,contact_info,search_term,extraction_method,relevance_score,is_verified,has_email,has_phone,subscriber_count,description,video_count,subscribers,channel_url
Chef,@DerEinzigWahreChef,YouTube channel covering chef topics,https://www.youtube.com/@DerEinzigWahreChef,youtube,"Hey [Chef's Name]! 👋 

I just wanted to slide into your DMs and say how much I love your content! Your recipes are always fire, and I’m always inspired by your creativity in the kitchen. 🔥 

I’m all about connecting with amazing creators like you, and I think it would be aweso...",,,,,,chef,Channel Renderers,3,,,,61200,YouTube channel covering chef topics,Video count not shown,61.2K subscribers,https://www.youtube.com/@DerEinzigWahreChef
Chef Ranveer Brar,@RanveerBrar,YouTube channel covering chef topics,https://www.youtube.com/@RanveerBrar,youtube,Hey Chef! 👋 Just wanted to slide into your DMs and say how much I love your content! Your recipes are seriously next level! 🍽️ I think we could create some awesome collabs together. Let’s connect and see what we can whip up! Looking forward to staying in touch and maybe even t...,,,,,,chef,Channel Renderers,3,,,,8610000,YouTube channel covering chef topics,Video count not shown,8.61M subscribers,https://www.youtube.com/@RanveerBrar
IIFYM Chef,@IIFYMChef,YouTube channel covering chef topics,https://www.youtube.com/@IIFYMChef,youtube,"Hey IIFYM! 👋

Just wanted to reach out and say how much I love your content! Your approach to flexible dieting is super inspiring, and I think our audiences would really vibe together. 🙌 

I’d love to explore some collaboration opportunities! Let’s connect and brainstorm some ...",,,,,,chef,Channel Renderers,3,,,,1540000,YouTube channel covering chef topics,Video count not shown,1.54M subscribers,https://www.youtube.com/@IIFYMChef
Chef - Topic,Chef - Topic,YouTube channel covering chef topics,https://www.youtube.com/channel/UCJchBj0FvN6qS47Ws1sXS4g,youtube,Hey Chef! 👋 Just wanted to slide into your DMs and say how much I love your content! Your recipes are 🔥 and really inspire me. I think it’d be awesome to collaborate and create something amazing together! Let’s connect and stay in touch—would love to see where our ideas could ...,,,,,,chef,Channel Renderers,3,,,,377,YouTube channel covering chef topics,Video count not shown,377 subscribers,https://www.youtube.com/channel/UCJchBj0FvN6qS47Ws1sXS4g
OTM Chef - Topic,OTM Chef - Topic,YouTube channel covering chef topics,https://www.youtube.com/channel/UCR3jN5NDnutycgqK4lO1icQ,youtube,"Hey OTM! 👋 

I just checked out your channel, and I’m seriously impressed with your content! Your approach to [specific topic or theme] is super engaging. I’d love to connect and explore potential collaboration opportunities. I think our audiences would vibe really well togeth...",,,,,,chef,Channel Renderers,3,,,,126,YouTube channel covering chef topics,Video count not shown,126 subscribers,https://www.youtube.com/channel/UCR3jN5NDnutycgqK4lO1icQ
Chef Holiday: Cooking Game - Topic,Chef Holiday: Cooking Game - Topic,YouTube channel covering chef topics,https://www.youtube.com/channel/UC3SYryilkg1ThEGshjETaOw,youtube,"你好，厨师朋友！

我刚刚看了你的视频，真的对你的厨艺和分享的内容感到很惊喜！你的频道为我们提供了很多有趣的厨师话题，让我受益匪浅。希望能看到更多你独特的创意和技巧，也期待与你互动交流！继续加油哦！

祝好！",,,,,,chef,Channel Renderers,3,,,,0,YouTube channel covering chef topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UC3SYryilkg1ThEGshjETaOw
Chef Nukey - Topic,Chef Nukey - Topic,YouTube channel covering chef topics,https://www.youtube.com/channel/UCWlXoLYKftS1xC1GREqM6kw,youtube,"Hey [Chef's Name]! 👋

I just wanted to slide into your DMs because I’m a huge fan of your channel! Your recipes are 🔥 and I love how you make cooking look so fun and accessible. I think we could create some awesome content together! 🎥

Let’s connect and explore some collab ide...",,,,,,chef,Channel Renderers,3,,,,0,YouTube channel covering chef topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UCWlXoLYKftS1xC1GREqM6kw
Le Chef - Topic,Le Chef - Topic,YouTube channel covering chef topics,https://www.youtube.com/channel/UCqlHsH9PDEnoQii0gQdlDWQ,youtube,"Hey Le! 👋 I just wanted to drop a quick message to say how much I love your content! Your videos bring such a fresh perspective, and I think we’d make a great team. 🎥✨ I’d love to connect and chat about possible collaboration opportunities! Let’s keep in touch and see how we c...",,,,,,chef,Channel Renderers,3,,,,0,YouTube channel covering chef topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UCqlHsH9PDEnoQii0gQdlDWQ
Chef Studios - Topic,Chef Studios - Topic,YouTube channel covering chef topics,https://www.youtube.com/channel/UCkdaPqmrXjqfXRSVt0YUCnw,youtube,"Hey [Chef's Name]! 👋

I just wanted to drop a quick DM because I absolutely love your content! Your recipes and cooking tips are always so inspiring. 🍽️✨ I think it would be awesome to collaborate and create something together that our audiences would really enjoy. 

Let’s con...",,,,,,chef,Channel Renderers,3,,,,0,YouTube channel covering chef topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UCkdaPqmrXjqfXRSVt0YUCnw
Chef T - Topic,Chef T - Topic,YouTube channel covering chef topics,https://www.youtube.com/channel/UCKgpbnaLZdYCjdH0hVm0b7Q,youtube,"Hey Chef! 👩‍🍳✨

I just wanted to slide into your DMs to say how much I love your content! Your recipes are always so innovative, and your presentation is on point. 🎥🔥 

I’m all about connecting with like-minded creators, and I think it’d be awesome to collaborate on something ...",,,,,,chef,Channel Renderers,3,,,,0,YouTube channel covering chef topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UCKgpbnaLZdYCjdH0hVm0b7Q
Zen Chef - Topic,Zen Chef - Topic,YouTube channel covering chef topics,https://www.youtube.com/channel/UCtR_Koig_KgI6dymwYWstEg,youtube,"Hey Zen! 👋

I just wanted to drop a quick message to say how much I love your content! Your videos are always so engaging and inspiring. I think we share a lot of similar interests, and I’d love to explore the possibility of collaborating sometime! 🤝

Let’s stay connected and ...",,,,,,chef,Channel Renderers,3,,,,0,YouTube channel covering chef topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UCtR_Koig_KgI6dymwYWstEg
Chef Davis - Topic,Chef Davis - Topic,YouTube channel covering chef topics,https://www.youtube.com/channel/UCE4lgtTGM8zPMVjOIHPFdfA,youtube,"Hey Chef! 👋 Just wanted to slide into your DMs to connect with an awesome creator like you! I've been loving your content and your unique take on recipes—it’s super inspiring! 🎉

I think it’d be amazing to collaborate on something fun together! Let’s combine our culinary vibes...",,,,,,chef,Channel Renderers,3,,,,0,YouTube channel covering chef topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UCE4lgtTGM8zPMVjOIHPFdfA
